"STATEFP","STATENS","AFFGEOID","GEOID","STUSPS","NAME","LSAD","ALAND","AWATER","xmin","ymin","xmax","ymax","state","COVIDExcRatio2020","COVIDExcRatio2021","pounderrep2020","pounderrep2021","excCDR2020","excCDR2021","COVIDCDR2020","COVIDCDR2021","relativeExc2020","relativeExc2021"
23,1779787,"0400000US23",23,"ME","Maine",0,79888428972,11744937116,-140,20,-73,60,"Maine",1.19233971690258,0.656003708854891,0.0,34.3996291145109,44.1248870241236,157.354173824932,52.6118553027019,103.224921632953,3.93860886105009,13.921518006970398
44,1219835,"0400000US44",44,"RI","Rhode Island",0,2677759219,1323691129,-140,20,-73,60,"Rhode Island",1.32625482625483,2.16666666666667,0.0,0.0,142.488673800881,36.1412465627028,188.976291315068,78.3060342191894,14.577861163226999,3.66768546818561
35,897535,"0400000US35",35,"NM","New Mexico",0,314198560935,726482115,-140,20,-73,60,"New Mexico",0.694177922682813,0.556810106592973,30.582207731718704,44.3189893407027,253.809386904334,299.249949435855,176.188872958649,166.62539624332,27.834677314802803,32.5653750224988
5,68085,"0400000US05",5,"AR","Arkansas",0,134660850501,3121867339,-140,20,-73,60,"Arkansas",0.739188388625592,0.665510012289453,26.0811611374408,33.4489987710547,223.951908715716,228.727877485326,165.542650533196,152.2206925562,20.483572490367997,20.7836891686825
12,294478,"0400000US12",12,"FL","Florida",0,138958484319,45975808217,-140,20,-73,60,"Florida",0.760753678728474,0.747191397764913,23.9246321271526,25.2808602235087,167.706681274002,208.33676325911,127.583474726541,155.667437345392,17.4167711350616,21.3888532668451
32,1779793,"0400000US32",32,"NV","Nevada",0,284537264244,1839662252,-140,20,-73,60,"Nevada",0.789317507418398,0.774880588834077,21.0682492581602,22.5119411165923,194.810762828976,203.38403256183,153.767545734444,157.59833891096,23.1385413487946,23.909909572575998
50,1779802,"0400000US50",50,"VT","Vermont",0,23873081385,1030243281,-140,20,-73,60,"Vermont",0.513698630136986,0.485,48.6301369863014,51.5,45.6159480853018,93.0056640449403,23.4328500438194,45.1077470617961,4.6593266315621396,9.42951438000943
9,1779780,"0400000US09",9,"CT","Connecticut",0,12541688516,1816426151,-140,20,-73,60,"Connecticut",1.02419646081618,1.11493758071459,0.0,0.0,192.5150911252,64.4415156489133,197.173274984134,71.848267555181,21.6257165617532,7.18150060283798
38,1779797,"0400000US38",38,"ND","North Dakota",0,178698456949,4410633765,-140,20,-73,60,"North Dakota",0.94199535962877,0.722513089005236,5.80046403712297,27.748691099476403,166.555028854081,98.5126396616529,156.89406430338,71.1766715880005,19.4231635872014,11.3944817300522
31,1779792,"0400000US31",31,"NE","Nebraska",0,198957373531,1371117957,-140,20,-73,60,"Nebraska",0.993832599118943,0.808030803080308,0.61674008810572,19.1969196919692,115.96566190339,92.5960824420918,115.250455177995,74.8204868577738,12.9877560361597,10.2921195652174
39,1085497,"0400000US39",39,"OH","Ohio",0,105823700104,10274656132,-140,20,-73,60,"Ohio",0.806391018028716,0.846091579338861,19.3608981971284,15.3908420661139,196.653890426652,193.98541245316,158.579930900455,164.129423991194,18.4076754621294,18.0167361048155
28,1779790,"0400000US28",28,"MS","Mississippi",0,121532487805,3915791676,-140,20,-73,60,"Mississippi",0.622067767158992,0.593456819821987,37.7932232841008,40.6543180178013,330.605294753535,281.737869242995,205.658897518272,167.19925990437,30.0379177476551,25.4141957571682
49,1455989,"0400000US49",49,"UT","Utah",0,213355058738,6529987297,-140,20,-73,60,"Utah",0.771663504111322,0.814165623323198,22.8336495888678,18.5834376676802,72.387281571416,83.9548232654117,55.8586233504918,68.3531310148728,12.0960954834103,13.905538836521
54,1779805,"0400000US54",54,"WV","West Virginia",0,62266296765,489206049,-140,20,-73,60,"West Virginia",0.602821276045037,0.574957542071947,39.7178723954963,42.5042457928053,215.85257997887,363.069085707175,130.120527700476,208.749309120506,16.635449632930698,27.8066371871378
40,1102857,"0400000US40",40,"OK","Oklahoma",0,177664190465,3373689316,-140,20,-73,60,"Oklahoma",0.807435186694929,0.721956852658653,19.2564813305071,27.8043147341347,232.052945252456,239.151322242818,187.367713173025,172.65693591558,22.3156132882145,22.8152956252021
45,1779799,"0400000US45",45,"SC","South Carolina",0,77866132568,5074311415,-140,20,-73,60,"South Carolina",0.628791598987648,0.651014879667072,37.1208401012352,34.8985120332928,257.473971524097,245.766223069778,161.897470252337,159.997468138003,25.697201487104298,24.312508948599202
42,1779798,"0400000US42",42,"PA","Pennsylvania",0,115881934065,3397760687,-140,20,-73,60,"Pennsylvania",1.00606926097822,1.10985897758751,0.0,0.0,172.91262865624,122.488131552438,173.962080525985,135.944552451394,16.1314241697802,11.3366449697385
8,1779779,"0400000US08",8,"CO","Colorado",0,268418746964,1185766400,-140,20,-73,60,"Colorado",0.738566423634126,0.690214277529506,26.1433576365874,30.978572247049403,120.612039002423,132.322254042201,89.080002293239,91.3307089748134,17.856518872124898,19.3946263084206
37,1027616,"0400000US37",37,"NC","North Carolina",0,125933025759,13456395178,-140,20,-73,60,"North Carolina",0.660717089767077,0.648016250546399,33.9282910232923,35.1983749453601,182.414236426228,184.536898316757,120.524203423621,119.582908934687,19.8861270713631,19.942568520370198
34,1779795,"0400000US34",34,"NJ","New Jersey",0,19048737655,3533261945,-140,20,-73,60,"New Jersey",0.985511538936196,1.85623293903549,1.44884610638035,0.0,219.670291240027,47.4270603961389,216.487606778521,88.0356717089385,25.630238810691104,5.48368988960271
